method,n_queries,ndcg@10,recall@100,recip_rank
bm25,809,0.6944532803187498,0.9264112072517512,0.6671179175928025
dense,809,0.6602002541701137,0.9324268644416976,0.6317057822965867
hybrid,809,0.7192736953608831,0.9557066337041614,0.6924440845045463
